# Looe Key, Florida Coral Stable Isotope and Trace Metal Data from 1947-2002 CE
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/29952
#      Description: NOAA Landing Page
# Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/coral/atlantic/smith2006/smith2006-lk1.txt
#      Description: NOAA location of the template
#
#
# Data_Type: Corals and Sclerosponges
#
# Dataset_DOI:
#
# Parameter_Keywords: carbon isotopes, oxygen isotopes, trace metals
#---------------------------------------
# Contribution_Date
#    Date: 2020-06-04
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2020-06-04
#---------------------------------------
# Title
#    Study_Name: Looe Key, Florida Coral Stable Isotope and Trace Metal Data from 1947-2002 CE
#---------------------------------------
# Investigators
#      Investigators: Smith, Jennifer M.; Quinn, Terrence M.; Helmle, Kevin P.; Halley, Robert B.
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: Time assigned by counting years in seasonal geochemistry and comparing to sampling paths on x-radiographs images.
#         Provided Keywords: Montastraea, geochemistry, replication, Florida Keys, salinity, sea surface temperature
#---------------------------------------
# Publication
# Authors: Smith, Jennifer M., Terrence M. Quinn, Kevin P. Helmle, and Robert B. Halley
# Published_Date_or_Year: 2006
# Published_Title: Reproducibility of geochemical and climatic signals in the Atlantic coral Montastraea faveolata 
# Journal_Name: Paleoceanography
# Volume: 21
# Edition: 
# Issue: 
# Pages: PA1010
# Report_Number: 
# DOI: 10.1029/2005PA001187
# Online_Resource: https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2005PA001187
# Full_Citation: 
# Abstract: Monthly resolved, 41-year-long stable isotopic and elemental ratio time series were generated from two separate heads of Montastraea faveolata from Looe Key, Florida, to assess the fidelity of using geochemical variations in Montastraea , the dominant reef-building coral of the Atlantic, to reconstruct sea surface environmental conditions at this site. The stable isotope time series of the two corals replicate well; mean values of d18O and d13C are indistinguishable between cores (compare 0.70‰ versus 0.68‰ for d13C and -3.90‰ versus -3.94‰ for d18O). Mean values from the Sr/Ca time series differ by 0.037 mmol/mol, which is outside of analytical error and indicates that nonenvironmental factors are influencing the coral Sr/Ca records at Looe Key. We have generated significant d18O-sea surface temperature (SST) (R = -0.84) and Sr/Ca-SST (R = -0.86) calibration equations at Looe Key; however, these equations are different from previously published equations for Montastraea . Variations in growth parameters or kinetic effects are not sufficient to explain either the observed differences in the mean offset between Sr/Ca time series or the disagreement between previous calibrations and our calculated d18O-SST and Sr/Ca-SST relationships. Calibration differences are most likely due to variations in seawater chemistry in the continentally influenced waters at Looe Key. Additional geochemical replication studies of Montastraea are needed and should include multiple coral heads from open ocean localities complemented whenever possible by seawater chemistry determinations.
#---------------------------------------
# Publication
# Authors: Jennifer M. Smith
# Published_Date_or_Year: 2006
# Published_Title: Geochemical Signatures in the Coral Montastraea: Modern and Mid-Holocene Perspectives
# Journal_Name: Thesis
# Volume: 
# Edition: 
# Issue: 
# Pages: 
# Report_Number: 
# DOI: 
# Online_Resource: https://scholarcommons.usf.edu/etd/2706/
# Full_Citation: Geochemical Signatures in the Coral Montastraea: Modern and Mid-Holocene, Dissertation, University of South Florida, 2006
# Abstract: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: NOAA Office of Global Programs
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: NOAA Coastal Ocean Program
#    Grant: NA160A1443
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: the St. Petersburg Progress Endowed Fellowship in Coastal Science
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Gulf Oceanographic Charitable Trust
#    Grant: 
#---------------------------------------
# Site_Information
# Site_Name: Looe Key, Florida
# Location: Florida
# Northernmost_Latitude: 24.556667
# Southernmost_Latitude: 24.556667
# Easternmost_Longitude: -81.4125
# Westernmost_Longitude: -81.4125
# Elevation: -4
#---------------------------------------
# Data_Collection
#   Collection_Name: LK1 isotopes and trace metals Smith2006
#   First_Year: 1947.21
#   Last_Year: 2002.63
#   Time_Unit: AD
#   Core_Length: 0.4
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
# Time assigned by counting years in seasonal geochemistry and comparing to sampling paths on x-radiographs images.
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## Sample	sample identification,,,,,corals and sclerosponges,,,C,LK1 is coral Looe Key1
## Depth	depth,,,centimeter,,corals and sclerosponges,raw,continuous line,N,sampling interval set by micromill interval
## Time	age,,,year Common Era,,corals and sclerosponges,,,N,time assigned by pairing maximum (minimum) Sr/Ca values with minimum (maximum) SST using the Analyseries software. This data is NOT interpolated to even time intervals.
## d13C_Mont	delta 13C,Montastraea sp.,,per mil PDB,,corals and sclerosponges,raw,isotope ratio mass spectrometry,N,0.02‰ 1 sigma analytical precision
## d18O_Mont	delta 18O,Montastraea sp.,,per mil PDB,,corals and sclerosponges,raw,isotope ratio mass spectrometry,N,0.06‰ 1 sigma analytical precision
## Sr/Ca_Mont	strontium/calcium,Montastraea sp.,,millimole per mole,,corals and sclerosponges,raw,elemental analysis,N,0.009 mmol/mol 1 sigma analytical precision
## Mg/Ca_Mont	magnesium/calcium,Montastraea sp.,,millimole per mole,,corals and sclerosponges,raw,elemental analysis,N,0.013 mmol/mol 1 sigma analytical precision
#------------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: NaN
Sample	Depth	Time	d13C_Mont	d18O_Mont	Sr/Ca_Mont	Mg/Ca_Mont	
LK 1A-1	0.05	2002.63	-0.77	-4.61	9.060	7.290	
LK 1A-2	0.10	2002.56	-1.03	-4.70	9.120	6.260	
LK 1A-3	0.15	2002.49	-0.83	-4.74	NaN	9.410	
LK 1A-4	0.20	2002.41	-0.46	-4.32	9.100	7.460	
LK 1A-5	0.25	2002.34	-0.78	-4.40	9.140	9.820	
LK 1A-6	0.30	2002.27	-1.07	-3.69	9.230	10.700	
LK 1A-7	0.35	2002.22	-1.92	-3.90	9.090	12.900	
LK 1A-8	0.40	2002.18	-2.16	-3.89	9.010	10.560	
LK 1A-9	0.45	2002.13	-2.03	-4.14	9.260	NaN	
LK 1A-10	0.50	2002.03	-2.11	-4.13	9.150	7.800	
LK 1A-11	0.55	2001.94	-1.47	-4.05	9.200	6.750	
LK 1A-12	0.60	2001.84	-1.90	-4.49	9.140	5.470	
LK 1A-13	0.65	2001.73	-1.07	-4.26	9.100	5.560	
LK 1A-14	0.70	2001.63	-0.53	-4.13	8.940	8.700	
LK 1A-15	0.75	2001.55	-0.06	-3.89	9.110	5.870	
LK 1A-16	0.80	2001.47	-0.08	-4.16	9.000	5.340	
LK 1A-17	0.85	2001.39	-0.46	-3.85	9.150	6.190	
LK 1A-18	0.90	2001.30	-1.04	-3.97	9.220	9.950	
LK 1A-19	0.95	2001.22	-1.23	-3.82	9.240	6.190	
LK 1A-20	1.00	2001.14	-1.43	-3.71	9.310	6.410	
LK 1A-21	1.05	2001.11	-1.46	-3.53	9.210	7.500	
NaN	1.10	2001.08	-1.56	-3.53	9.240	9.220	
LK 1-15	1.15	2001.04	-1.72	-3.56	9.320	7.880	
LK 1-16	1.20	2000.99	-1.63	-3.69	9.250	9.710	
LK 1-17	1.25	2000.93	-1.83	-3.77	9.170	9.350	
LK 1-18	1.30	2000.89	-1.36	-4.04	9.140	7.680	
LK 1-19	1.35	2000.83	-1.23	-4.07	9.210	5.750	
LK 1-20	1.40	2000.78	-0.58	-4.15	9.130	6.540	
LK 1-21	1.45	2000.72	0.29	-4.02	9.140	5.800	
LK 1-22	1.50	2000.68	-0.10	-4.06	9.210	6.520	
LK 1-23	1.55	2000.62	-0.62	-4.43	9.080	9.640	
LK 1-24	1.60	2000.51	-0.46	-4.04	9.150	11.340	
LK 1-25	1.65	2000.40	-0.79	-3.93	9.200	11.820	
LK 1-26	1.70	2000.29	-1.11	-3.86	9.220	12.200	
LK 1-27	1.75	2000.18	-1.11	-3.73	9.170	19.290	
LK 1-28	1.80	2000.11	-1.51	-3.62	9.210	16.990	
LK 1-29	1.85	2000.04	-1.49	-3.46	9.230	10.360	
LK 1-30	1.90	1999.98	-1.63	-3.69	9.190	7.700	
LK 1-31	1.95	1999.91	-1.73	-3.81	9.150	6.440	
LK 1-32	2.00	1999.86	-1.56	-3.93	9.130	6.150	
LK 1-33	2.05	1999.80	-1.16	-4.06	9.120	6.170	
LK 1-34	2.10	1999.74	-0.35	-4.04	9.100	5.420	
LK 1-35	2.15	1999.68	-0.06	-4.10	9.120	5.790	
LK 1-36	2.20	1999.62	-0.41	-4.24	9.100	7.550	
LK 1-37	2.25	1999.52	-0.53	-4.35	9.210	11.040	
LK 1-38	2.30	1999.41	-0.74	-4.13	9.190	17.630	
LK 1-39	2.35	1999.31	-0.69	-3.92	9.260	16.720	
LK 1-40	2.40	1999.22	-0.71	-3.77	9.250	9.250	
LK 1-41	2.45	1999.12	-1.02	-3.58	9.350	7.620	
LK 1-42	2.50	1999.05	-0.66	-3.46	9.300	12.150	
LK 1-43	2.55	1998.98	-0.86	-3.68	9.310	6.920	
LK 1-44	2.60	1998.91	-0.99	-3.72	9.260	5.810	
LK 1-45	2.65	1998.83	-0.43	-3.69	9.290	5.880	
LK 1-46	2.70	1998.76	0.21	-3.68	9.330	5.360	
LK 1-47	2.75	1998.69	0.23	-3.85	9.180	5.130	
LK 1-48	2.80	1998.62	-0.60	-4.41	9.140	6.660	
LK 1-49	2.85	1998.36	-0.30	-4.12	9.270	10.330	
LK 1-50	2.90	1998.12	0.12	-3.53	9.320	10.920	
LK 1-51	2.95	1998.05	-0.76	-3.71	9.260	15.790	
LK 1-52	3.00	1997.98	-1.19	-3.60	9.310	14.890	
LK 1-53	3.05	1997.94	-2.08	-3.57	9.290	8.510	
LK 1-54	3.10	1997.89	-1.86	-3.67	9.240	5.810	
LK 1-55	3.15	1997.85	-1.94	-3.95	9.160	6.300	
LK 1-56	3.20	1997.80	-2.02	-3.96	9.190	5.770	
LK 1-57	3.25	1997.76	-1.30	-4.02	9.170	5.840	
LK 1-58	3.30	1997.71	-0.64	-4.03	9.130	5.930	
LK 1-59	3.35	1997.66	0.20	-4.03	9.210	6.540	
LK 1-60	3.40	1997.62	0.62	-4.01	9.130	5.490	
LK 1-61	3.45	1997.48	-0.28	-4.27	9.150	7.840	
LK 1-62	3.50	1997.33	-0.36	-4.09	9.140	15.060	
LK 1-63	3.55	1997.04	-0.33	-3.83	9.350	15.390	
LK 1-64	3.60	1996.95	-0.96	-3.98	9.270	20.790	
LK 1-65	3.65	1996.88	-1.32	-3.83	9.260	16.270	
LK 1-66	3.70	1996.80	-1.38	-3.87	9.220	18.380	
LK 1-67	3.75	1996.71	-1.96	-4.03	9.130	8.300	
LK 1-68	3.80	1996.66	-1.32	-3.99	9.200	7.240	
LK 1-69	3.85	1996.60	-0.77	-4.08	9.240	6.220	
LK 1-70	3.90	1996.55	0.13	-3.86	9.180	6.970	
LK 1-71	3.95	1996.50	0.16	-4.03	9.170	6.040	
LK 1-72	4.00	1996.44	-0.08	-4.43	9.200	7.120	
LK 1-73	4.05	1996.39	-0.72	-4.21	9.210	9.190	
LK 1-74	4.10	1996.34	-0.97	-3.93	9.210	16.000	
LK 1-75	4.15	1996.28	-1.38	-3.57	9.230	18.750	
LK 1-76	4.20	1996.23	-1.42	-3.33	9.270	14.680	
LK 1-77	4.25	1996.18	-1.51	-3.31	9.320	7.670	
LK 1-78	4.30	1996.12	-1.73	-3.40	9.270	7.980	
LK 1-79	4.35	1996.05	-1.49	-3.63	9.330	8.710	
LK 1-80	4.40	1995.98	-1.57	-3.47	9.230	10.960	
LK 1-81	4.45	1995.91	-1.75	-3.97	9.110	8.390	
LK 1-82	4.50	1995.83	-1.14	-4.12	9.160	8.030	
LK 1-83	4.55	1995.76	-0.75	-4.19	9.110	6.550	
LK 1-84	4.60	1995.69	-0.37	-4.11	9.150	6.260	
LK 1-85	4.65	1995.62	0.17	-4.21	9.080	6.460	
LK 1-86	4.70	1995.50	0.03	-4.40	9.170	7.240	
LK 1-87	4.75	1995.39	-0.13	-3.84	9.160	9.170	
LK 1-88	4.80	1995.27	-0.76	-4.10	9.160	11.920	
LK 1-89	4.85	1995.16	-0.94	-3.77	9.260	16.470	
LK 1-90	4.90	1995.04	-1.21	-3.54	9.400	5.820	
LK 1-91	4.95	1994.99	-1.58	-3.52	9.290	10.610	
LK 1-92	5.00	1994.95	-1.48	-3.64	9.210	9.550	
LK 1-93	5.05	1994.90	-1.34	-3.69	9.210	7.590	
LK 1-94	5.10	1994.85	-2.09	-4.25	9.070	8.800	
LK 1-95	5.15	1994.81	-1.25	-4.14	9.090	7.080	
LK 1-96	5.20	1994.76	-0.64	-4.04	9.100	6.270	
LK 1-97	5.25	1994.71	0.05	-4.01	9.160	4.990	
LK 1-98	5.30	1994.67	0.44	-4.10	9.080	5.830	
LK 1-99	5.35	1994.62	0.08	-4.40	9.070	6.180	
LK 1-100	5.40	1994.52	-0.54	-4.37	9.080	8.330	
LK 1-101	5.45	1994.43	-0.90	-4.19	9.210	8.810	
LK 1-102	5.50	1994.33	-0.40	-3.76	9.300	8.080	
LK 1-103	5.55	1994.23	-0.76	-3.66	9.290	10.040	
LK 1-104	5.60	1994.14	-1.60	-3.66	9.230	14.670	
LK 1-105	5.65	1994.04	-1.33	-3.60	9.380	6.310	
LK 1-106	5.70	1993.98	-1.90	-3.56	9.250	6.900	
LK 1-107	5.75	1993.93	-1.85	-3.85	9.250	5.920	
LK 1-108	5.80	1993.88	-2.10	-4.05	9.150	5.350	
LK 1-109	5.85	1993.83	-1.71	-3.90	NaN	5.420	
LK 1-110	5.90	1993.77	-1.93	-3.84	9.150	6.120	
LK 1-111	5.95	1993.72	-1.18	-4.28	9.220	5.800	
LK 1-112	6.00	1993.67	-0.36	-4.13	9.130	5.860	
LK 1-113	6.05	1993.62	0.56	-3.96	9.130	5.890	
LK 1-114	6.10	1993.48	-0.41	-4.11	9.190	6.080	
LK 1-115	6.15	1993.35	-0.51	-3.98	9.240	9.190	
LK 1-116	6.20	1993.21	-0.71	-3.79	9.430	8.110	
LK 1-117	6.25	1993.13	-0.60	-3.66	9.370	13.960	
LK 1-118	6.30	1993.06	-1.25	-3.39	9.280	7.240	
LK 1-119	6.35	1992.98	-1.05	-3.43	9.290	11.570	
LK 1-120	6.40	1992.91	-1.00	-3.29	9.230	7.730	
LK 1-121	6.45	1992.83	-1.74	-3.80	9.200	7.400	
LK 1-122	6.50	1992.77	-1.71	-3.82	9.180	6.550	
LK 1-123	6.55	1992.70	-1.31	-3.63	9.220	7.300	
