# Palau Coral 50 Year Stable Isotope Calibration Data 
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:16338
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/palau2013ri.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2014-04-11
#--------------------
# Title
#	Study_Name: Palau Coral 50 Year Stable Isotope Calibration Data 
#--------------------
# Investigators
#       Investigators: Osborne, M.C.; Dunbar, R.B.; Mucciarone, D.A.; Sanchez-Cabeza, J.-A.; Druffel, E.
#--------------------
# Description_and_Notes
#	Description: Stable isotope (d18O and d13C) data for the past 50 years at monthly resolution 
#       from 4 coral cores collected in November 2008 from massive Porites lutea colonies at four sites
#       in the Republic of Palau.
#--------------------
# Publication 
#       Authors: Michael C. Osborne, Robert B. Dunbar, David A. Mucciarone, Joan-Albert Sanchez-Cabeza, Ellen Druffel
#       Published_Date_or_Year: 2013-09-15      
#       Published_Title: Regional calibration of coral-based climate reconstructions from Palau, West Pacific Warm Pool (WPWP)
#       Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#       Volume: 386
#       Edition: 
#       Issue: 
#       Pages: 308-320
#       DOI: 10.1016/j.palaeo.2013.06.001
#       Online_Resource: http://www.sciencedirect.com/science/article/pii/S0031018213002757
#       Full_Citation: 
#       Abstract: Stable isotopic and trace element records from corals collected within the West Pacific Warm Pool (WPWP) are well suited to examine interannual to decadal climate variability associated with the El Nino-Southern Oscillation (ENSO) phenomenon. The most commonly used climate recorder in corals is d18O (d18OCRL), a parameter subject to multiple regional and local environmental influences. Location-specific calibration of d18OCRL is a necessary first step for developing long-term paleoceanographic reconstructions. Here we present four new coral d18O stratigraphies from the Republic of Palau (7.5N 134.5E), and compare our records with instrumental measurements for the period 1950-2008. We also compare our results with a previously published coral record from Palau. We employ a new sea surface salinity (SSS) product and validate its utility for coral-based paleoclimate calibrations. We not only examine differences among the records but also identify strong and regionally coherent environmental signals. We find that SSS variability is the dominant influence on d18OCRL in Palau, while sea surface temperature (SST) is of secondary importance. Our results show that time-averaging multiple d18OCRL records into a single composite series produce greater correlations with instrumental data and indices than individual stratigraphies alone. Our results are consistent with observations of a strengthening of the hydrological cycle in the WPWP region over the past 50 years, though the magnitudes of long term linear trends differ among the different Palau d18OCRL records. Interannual and interdecadal variabilities between the Palau d18OCRL records are more consistent than the long term linear trends. Monthly Palauan d18OCRL anomalies capture strong El Nino events with high fidelity over the calibration period. This study provides constraints for future paleoenvironmental investigations in Palau using longer coral records.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: IAEA
#       Grant: Project "Nuclear and isotopic studies of the El Nino phenomenon in the ocean"
#------------------
# Funding_Agency 
#       Funding_Agency_Name: U.S. National Science Foundation
#       Grant: OCE-0941199
#------------------
# Site_Information 
#       Site_Name: Rock Islands
#       Location: Ocean>Pacific Ocean>Western Pacific Ocean>Micronesia>Palau
#	Country: Republic of Palau
#	Northernmost_Latitude: 7.2708
# 	Southernmost_Latitude: 7.2708
# 	Easternmost_Longitude: 134.3837 
# 	Westernmost_Longitude: 134.3837 
# 	Elevation: m  
#------------------
# Data_Collection   
#	Collection_Name: Palau2013RI
#	Earliest_Year: 1950
#	Most_Recent_Year: 2008
#	Time_Unit: AD
#	Core_Length: m
#	Notes: 
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology: 
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , , AD, , , , ,N
##d13Cporite	delta13C, porites, , per mil VPDB, ,coral, , ,N 
##d18Oporite	delta18O, porites, , per mil VPDB, ,coral, , ,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age_AD	d13Cporite	d18Oporite
2008.17	-3.016838541	-5.794781242
2008.08	-2.948039925	-5.978945492
2008.00	-3.003235329	-6.096813052
2007.92	-2.93778631	-6.189766077
2007.83	-2.752870257	-6.126944
2007.75	-2.631155038	-6.232339943
2007.67	-2.621407857	-6.039877836
2007.58	-3.074462985	-5.975032571
2007.50	-2.382190014	-5.832446847
2007.42	-2.546326452	-5.722238187
2007.33	-2.559692395	-5.586108717
2007.25	-2.610560889	-5.680000571
2007.17	-2.710866203	-5.594289337
2007.08	-2.990420059	-5.889295641
2007.00	-2.931711646	-5.874869629
2006.92	-2.847681036	-5.958258186
2006.83	-2.416654344	-6.04080473
2006.75	-2.595262216	-5.88276683
2006.67	-2.733731737	-6.020741497
2006.58	-2.702055223	-5.958855317
2006.50	-2.77881199	-5.977976143
2006.42	-2.774580708	-6.150682961
2006.33	-2.718670149	-5.896842897
2006.25	-2.591863379	-5.757511489
2006.17	-2.773937216	-5.760656868
2006.08	-2.961714828	-5.884199339
2006.00	-2.932319632	-5.960108791
2005.92	-3.115140746	-6.004040333
2005.83	-2.826466789	-6.105706249
2005.75	-2.81886758	-6.041583921
2005.67	-2.934575999	-6.122967489
2005.58	-3.469148504	-5.998509366
2005.50	-3.344084015	-6.050286804
2005.42	-2.993859864	-6.105028292
2005.33	-2.774151554	-5.755174671
2005.25	-2.719898274	-5.630388458
2005.17	-3.102179756	-5.527107273
2005.08	-3.221780681	-5.783297179
2005.00	-3.170982113	-5.938805614
2004.92	-2.653243113	-5.909718255
2004.83	-2.952396622	-5.938470398
2004.75	-2.801480618	-5.856927198
2004.67	-2.740408649	-5.999847923
2004.58	-3.141082416	-5.982802085
2004.50	-2.80235671	-5.785281693
2004.42	-2.794433817	-5.738499688
2004.33	-2.742560139	-5.718897854
2004.25	-2.743337908	-5.769676719
2004.17	-2.214209164	-5.583624609
2004.08	-2.570892521	-5.893346903
2004.00	-2.898153591	-5.949346688
2003.92	-3.047828523	-5.911282969
2003.83	-2.936202341	-5.917849274
2003.75	-2.80492439	-5.849399615
2003.67	-2.834103336	-5.890368019
2003.58	-3.201951011	-5.728957433
2003.50	-2.91763138	-5.810478318
2003.42	-2.679340032	-5.696997338
2003.33	-2.598637042	-5.537444762
2003.25	-2.762438319	-5.464058648
2003.17	-2.809450855	-5.356437241
2003.08	-3.015328077	-5.514128185
2003.00	-2.872349445	-5.709622429
2002.92	-2.745931616	-5.82836643
2002.83	-2.74440922	-5.864811058
2002.75	-2.494967344	-5.785953127
2002.67	-2.826250782	-5.732575928
2002.58	-2.590540344	-5.970745962
2002.50	-2.961881757	-5.880034857
2002.42	-3.236988939	-5.907226656
2002.33	-2.667897975	-5.72183543
2002.25	-2.559282943	-5.709812158
2002.17	-2.200103989	-5.427917515
2002.08	-3.040828095	-5.735246904
2002.00	-3.189280459	-5.850216523
2001.92	-2.986886036	-5.951625387
2001.83	-2.733854632	-6.033883016
2001.75	-2.395757069	-5.953572469
2001.67	-2.397991171	-5.961175953
2001.58	-2.960449438	-6.089624856
2001.50	-3.326571343	-6.0892929
2001.42	-2.964546073	-5.985213706
2001.33	-2.716516717	-5.848012571
2001.25	-2.31042083	-5.939682379
2001.17	-2.494051089	-5.782698666
2001.08	-2.536787328	-5.955752212
2001.00	-2.641708723	-5.873419488
2000.92	-2.714688961	-6.01752524
2000.83	-2.887355715	-6.024500627
2000.75	-2.891958109	-6.058684729
2000.67	-2.61951771	-6.067272764
2000.58	-2.692458463	-6.097495787
2000.50	-2.488774534	-5.944682648
2000.42	-2.71952355	-5.936830608
2000.33	-2.311877001	-5.896685518
2000.25	-2.682245944	-5.937380929
2000.17	-2.175595989	-5.800581728
2000.08	-2.396269538	-5.877657108
2000.00	-2.531519563	-5.902244362
1999.92	-2.700049099	-6.003132519
1999.83	-2.479099939	-6.053526679
1999.75	-2.227983688	-5.974663127
1999.67	-2.439920366	-6.098063456
1999.58	-2.551627939	-6.008541294
1999.50	-2.379952627	-5.939294845
1999.42	-2.832629788	-5.935745748
1999.33	-2.594809124	-5.827670065
1999.25	-2.443941996	-5.872015144
1999.17	-2.050554743	-5.685066734
1999.08	-2.638961604	-5.793351217
1999.00	-2.92136747	-5.855944002
1998.92	-2.359595745	-5.749601485
1998.83	-3.207957225	-5.604050308
1998.75	-2.713302306	-5.810742816
1998.67	-2.235872174	-5.811495988
1998.58	-2.236060789	-5.759056258
1998.50	-2.876400642	-5.797716374
1998.42	-2.619943745	-5.665200849
1998.33	-2.474492635	-5.541981595
1998.25	-2.34185816	-5.41543144
1998.17	-2.271958342	-5.31779388
1998.08	-2.278745062	-5.427276491
1998.00	-2.464052906	-5.526290451
1997.92	-2.56897514	-5.559062162
1997.83	-2.653823605	-5.651112591
1997.75	-2.644326763	-5.66227802
1997.67	-2.233618965	-5.721111809
1997.58	-2.502046786	-5.856777557
1997.50	-2.285877934	-5.645680462
1997.42	-2.438269885	-5.663135763
1997.33	-2.562382212	-5.780430351
1997.25	-2.725120808	-5.836231436
1997.17	-2.344377747	-5.633255993
1997.08	-2.09263348	-5.739609046
1997.00	-1.999522568	-5.816845963
1996.92	-2.758701792	-5.720628773
1996.83	-2.530321861	-5.826822653
1996.75	-2.370219382	-5.940578752
1996.67	-2.056636562	-6.061441933
1996.58	-2.212838296	-6.096684392
1996.50	-2.153450328	-6.160638017
1996.42	-2.079640379	-6.174486671
1996.33	-2.167233205	-6.132841397
1996.25	-2.204422779	-5.982667204
1996.17	-1.87216538	-5.64255331
1996.08	-2.205188197	-5.882178338
1996.00	-2.042744922	-5.92006372
1995.92	-2.262933163	-6.006442526
1995.83	-2.197300432	-5.904975281
1995.75	-2.216125632	-6.06997957
1995.67	-2.075398478	-5.912205799
1995.58	-2.658208589	-6.027485066
1995.50	-2.080442712	-5.87962598
1995.42	-2.268730947	-5.821432725
1995.33	-2.029098695	-5.720459961
1995.25	-1.819677042	-5.581539818
1995.17	-2.135321795	-5.422700863
1995.08	-2.408495633	-5.519108834
1995.00	-2.460585562	-5.588339355
1994.92	-2.285542069	-5.656491261
1994.83	-2.009524608	-5.65152391
1994.75	-2.079518604	-5.757377602
1994.67	-2.35294169	-5.839316349
1994.58	-2.122411571	-5.915096549
