# Papua New Guinea Holocene and Modern Coral Oxygen Isotope Data 
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/9813
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/papua_new_guinea/papau-new-guinea2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2010-11-01
#--------------------
# Title
#	Study_Name: Papua New Guinea Holocene Coral Oxygen Isotope Data 
#--------------------
# Investigators
#       Investigators: McGregor, H.V.; Gagan, M.K.
#--------------------
# Description_and_Notes
#	Description: Fossil and modern coral d18O data from Koil Island and Muschu Island, northern Papua New Guinea, collected from uplifted and living reefs.  Fossil corals were screened for diagenesis using X-ray diffraction  and thin section observations. Eight mid-late Holocene fossil corals were selected for study due to their well preserved state.  Uranium-series ages of these corals were determined by isotope dilution thermal ionisation mass spectrometry, with fossil coral initial d234U constrained to 146�150 per mil. The average error on the uranium-series ages is �90 yr. 
#--------------------
# Publication 
#       Authors: McGregor, H.V.; Gagan, M.K.
#       Published_Date_or_Year: 2004
#       Published_Title: Western Pacific coral d18O records of anomalous Holocene variability in the El Nino-Southern Oscillation.
#       Journal_Name: Geophysical Research Letters
#       Volume: 31
#       Edition: 
#       Issue: L11204
#       Pages: 
#       DOI: 10.1029/2004GL019972
#       Online_Resource: 
#       Full_Citation: McGregor, H.V., and M.K. Gagan. 2004. Western Pacific coral d18O records of anomalous Holocene variability in the El Nino-Southern Oscillation. Geophysical Research Letters, 31, L11204, doi:10.1029/2004GL019972. 
#       Abstract: Skeletal oxygen isotope ratios in Holocene Porites corals from  northern Papua New Guinea record decreases in sea surface temperature  (SST) and rainfall during El Nino events. Threshold analysis of seven  fossil coral d18O records spanning the period 7.6-5.4 ka (thousand  years ago) shows 8-12 El Nino events/century, significantly less  than the 23 events/century recorded by the NINO3.4 Index. The coral  reconstructions also show a 15% reduction in El Nino event amplitude  for 7.6-5.4 ka, compared to today, which is greater than the  suppression given by model studies. In contrast, large and protracted  El Nino events are identified for 2.5-1.7 ka. Taken together,  the results indicate a nonlinear atmospheric response to Holocene  changes in El Nino SST anomalies. We propose that small changes  in tropical SST gradients, the positioning of the Intertropical  Convergence Zone, and the Pacific tradewind climatology modify  the impact of El Nino events on western Pacific rainfall.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Morock Bay, Muschu Island, Papua New Guinea
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>Papua New Guinea
#	Country: Papua New Guinea 
#	Northernmost_Latitude: -3.4064 
# 	Southernmost_Latitude: -3.4064 
# 	Easternmost_Longitude: 143.6083
# 	Westernmost_Longitude: 143.6083 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 04papu01i 
#	Earliest_Year: 7550
#	Most_Recent_Year: 7550
#	Time_Unit: cal yr BP
#	Core_Length: 
#	Notes: Core FK05; year 1=the youngest year in that coral
#------------------
# Species
#	Species_Name: Porites sp. 
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: U/Th CoralAge=7550 � 35 yr BP (McGregor et al. 2008)
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years, , , , ,N
##d18O	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, , ,N
##d18O_anom	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, anomalized to series mean, ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	d18O_anom
1	-4.79	-0.04
2	-4.79	-0.04
3	-4.69	0.05
4	-4.72	0
5	-4.77	-0.07
6	-4.67	0.01
7	-4.78	-0.13
8	-4.51	0.11
9	-4.63	-0.03
10	-4.53	0.05
11	-4.43	0.15
12	-4.5	0.09
13	-4.52	0.1
14	-4.7	-0.06
15	-4.74	-0.08
16	-4.93	-0.26
17	-4.72	-0.06
18	-4.59	0.05
19	-4.51	0.11
20	-4.57	0.03
21	-4.53	0.06
22	-4.42	0.18
23	-4.6	0.01
24	-4.79	-0.15
25	-4.71	-0.05
26	-4.6	0.08
27	-4.66	0.04
28	-4.8	-0.09
29	-4.75	-0.03
30	-4.77	-0.04
31	-4.62	0.12
32	-4.79	-0.05
33	-4.77	0
